Epoch: 1, train loss: 1.529044508934021, temp_loss: 1.529044508934021, time_loss: 1.7870997190475464, mse_loss: 3.4140625
TRAIN: temp_loss: 1.4867042303085327, time_loss: 1.7910126447677612, temp_acc: 0.1640625, time_acc: 0.25
TEST : temp_loss: 1.4943252801895142, time_loss: 1.798731803894043, temp_acc: 0.16, time_acc: 0.168
Epoch: 2, train loss: 1.496110200881958, temp_loss: 1.496110200881958, time_loss: 1.786329746246338, mse_loss: 3.9296875
Best time accuracy: 0.184
Temp accuracy with best time accuracy: 0.216
Epoch: 3, train loss: 1.4667009115219116, temp_loss: 1.4667009115219116, time_loss: 1.7162482738494873, mse_loss: 3.1640625
Epoch: 4, train loss: 1.4388622045516968, temp_loss: 1.4388622045516968, time_loss: 1.7514784336090088, mse_loss: 3.515625
Epoch: 5, train loss: 1.3365181684494019, temp_loss: 1.3365181684494019, time_loss: 1.7506639957427979, mse_loss: 2.734375
Epoch: 6, train loss: 1.3520439863204956, temp_loss: 1.3520439863204956, time_loss: 1.7282755374908447, mse_loss: 3.7734375
Epoch: 7, train loss: 1.2953274250030518, temp_loss: 1.2953274250030518, time_loss: 1.7581772804260254, mse_loss: 3.640625
Best time accuracy: 0.192
Temp accuracy with best time accuracy: 0.432
Epoch: 8, train loss: 1.2630805969238281, temp_loss: 1.2630805969238281, time_loss: 1.764975666999817, mse_loss: 3.671875
Epoch: 9, train loss: 1.2601253986358643, temp_loss: 1.2601253986358643, time_loss: 1.7723292112350464, mse_loss: 3.7265625
Epoch: 10, train loss: 1.2207932472229004, temp_loss: 1.2207932472229004, time_loss: 1.8282145261764526, mse_loss: 3.2734375
Epoch: 11, train loss: 1.161657691001892, temp_loss: 1.161657691001892, time_loss: 1.8103716373443604, mse_loss: 3.3828125
Epoch: 12, train loss: 1.1364493370056152, temp_loss: 1.1364493370056152, time_loss: 1.9308563470840454, mse_loss: 4.2421875
Epoch: 13, train loss: 1.122926950454712, temp_loss: 1.122926950454712, time_loss: 1.7280217409133911, mse_loss: 3.1875
Epoch: 14, train loss: 1.1170355081558228, temp_loss: 1.1170355081558228, time_loss: 1.7946892976760864, mse_loss: 3.90625
Epoch: 15, train loss: 1.105520248413086, temp_loss: 1.105520248413086, time_loss: 1.8014413118362427, mse_loss: 3.4765625
Epoch: 16, train loss: 1.0913585424423218, temp_loss: 1.0913585424423218, time_loss: 1.754247784614563, mse_loss: 3.5546875
Epoch: 17, train loss: 1.030732274055481, temp_loss: 1.030732274055481, time_loss: 1.7798975706100464, mse_loss: 3.1953125
Epoch: 18, train loss: 0.9926949739456177, temp_loss: 0.9926949739456177, time_loss: 1.7714358568191528, mse_loss: 3.53125
Epoch: 19, train loss: 0.9802471399307251, temp_loss: 0.9802471399307251, time_loss: 1.8605539798736572, mse_loss: 3.59375
Epoch: 20, train loss: 0.9345642328262329, temp_loss: 0.9345642328262329, time_loss: 1.8170303106307983, mse_loss: 3.9453125
Epoch: 21, train loss: 0.9938940405845642, temp_loss: 0.9938940405845642, time_loss: 1.8199576139450073, mse_loss: 2.9140625
Epoch: 22, train loss: 0.9326184988021851, temp_loss: 0.9326184988021851, time_loss: 1.8114724159240723, mse_loss: 3.359375
